Date,Open,High,Low,Close,Volume,Adj Close
2015-03-05,273.0,280.5,262.2,273.0,11279.69881028,273.0
2015-03-06,272.78,276.46,269.0,273.29,7167.25024213,273.29
2015-03-07,275.71,279.48,270.0,275.74,5599.87623784,275.74
2015-03-08,274.12,277.59,271.12,274.83,4519.81112053,274.83
2015-03-09,285.7,289.0,273.83,286.0,11854.90232574,286.0
2015-03-10,291.38,296.8,283.96,291.38,13030.0154149,291.38
2015-03-11,294.6,295.58,285.83,295.29,6521.86904484,295.29
2015-03-12,294.48,297.95,289.0,294.58,8319.42178831,294.58
2015-03-13,287.16,296.17,282.99,287.48,8972.70985456,287.48
2015-03-14,282.71,287.69,280.46,283.33,6113.84463488,283.33
2015-03-15,286.43,287.75,281.42,286.91,2415.32243575,286.91
2015-03-16,289.5,294.26,285.67,290.01,6449.29675733,290.01
2015-03-17,284.0,292.99,281.9,284.5,6342.65827198,284.5
2015-03-18,256.71,284.5,249.02,256.71,21064.28471928,256.71
2015-03-19,261.45,265.95,249.0,261.72,15747.66379126,261.72
2015-03-20,262.14,265.27,257.0,262.61,5671.16529654,262.61
2015-03-21,259.3,262.69,256.25,259.48,4618.50540877,259.48
2015-03-22,268.3,269.37,259.24,268.34,4844.46375669,268.34
2015-03-23,266.58,272.0,259.5,266.92,9767.88771587,266.92
2015-03-24,248.15,266.86,241.84,248.16,18425.79501604,248.16
2015-03-25,246.63,250.0,236.4,247.08,13465.16610475,247.08
2015-03-26,248.91,253.75,244.91,249.15,8516.27878112,249.15
2015-03-27,248.29,250.52,245.12,248.29,5686.47534872,248.29
2015-03-28,252.46,253.83,247.17,252.3,6106.8079366,252.3
2015-03-29,242.8,253.1,239.96,243.18,6666.40490004,243.18
2015-03-30,246.21,248.86,236.52,246.29,8570.25394194,246.29
2015-03-31,244.86,248.59,238.55,244.94,7921.89612758,244.94
2015-04-01,246.21,246.74,239.32,246.22,6278.18394268,246.22
2015-04-02,251.69,256.96,244.52,251.91,9809.19996007,251.91
2015-04-03,253.53,256.67,250.9,253.79,5101.97572097,253.79
2015-04-04,253.2,255.85,250.76,253.15,2908.70838331,253.15
2015-04-05,257.23,260.02,251.65,257.4,4794.31348847,257.4
2015-04-06,255.53,262.98,254.0,255.93,6808.79318189,255.93
2015-04-07,254.48,256.62,251.5,254.48,6142.16633808,254.48
2015-04-08,245.77,254.96,243.06,245.76,11536.95503257,245.76
2015-04-09,242.64,246.3,238.47,242.68,8087.39271925,242.68
2015-04-10,234.57,243.94,231.0,234.95,11384.67525188,234.95
2015-04-11,235.28,239.42,233.0,235.7,4237.1213552,235.7
2015-04-12,236.29,237.5,233.42,236.29,3193.93656652,236.29
2015-04-13,220.89,236.9,219.64,220.89,13246.84680813,220.89
2015-04-14,213.43,224.8,210.0,213.84,18029.92026245,213.84
2015-04-15,220.07,222.43,213.23,220.05,10034.7373863,220.05
2015-04-16,228.82,229.67,218.5,228.8,11412.15792588,228.8
2015-04-17,222.56,229.14,220.0,222.7,8219.13539015,222.7
2015-04-18,223.47,224.72,220.32,223.54,4847.9878022,223.54
2015-04-19,222.89,227.35,221.91,222.89,5856.88316548,222.89
2015-04-20,223.24,226.51,221.43,223.26,5834.92493971,223.26
2015-04-21,233.46,235.61,223.02,233.5,9407.7243688,233.5
2015-04-22,231.99,238.64,229.1,232.12,11033.8528833,232.12
2015-04-23,234.61,236.22,231.04,234.62,8665.01761001,234.62
2015-04-24,230.42,236.0,228.0,230.43,8269.70130893,230.43
2015-04-25,226.98,232.29,225.7,226.97,5576.85006911,226.97
2015-04-26,219.52,227.26,214.98,219.6,11236.93446,219.6
2015-04-27,229.56,229.9,217.52,229.84,12142.51230584,229.84
2015-04-28,224.65,229.93,221.45,224.68,10918.92706085,224.68
2015-04-29,226.13,226.99,221.81,226.17,8797.56551374,226.17
2015-04-30,235.79,240.0,224.6,236.0,12013.35865245,236.0
2015-05-01,234.12,239.23,232.57,234.26,6579.6126659,234.26
2015-05-02,234.67,234.79,229.87,234.66,4928.00809653,234.66
2015-05-03,238.95,242.25,232.31,238.99,4460.75475343,238.99
2015-05-04,237.06,242.2,236.07,237.05,6885.71790093,237.05
2015-05-05,234.71,238.99,229.66,234.9,9005.89120663,234.9
2015-05-06,229.22,235.98,227.1,229.8,8223.26434312,229.8
2015-05-07,238.01,240.0,227.01,238.04,11233.45011893,238.04
2015-05-08,243.63,246.57,235.29,243.59,9764.55239456,243.59
2015-05-09,242.39,247.01,238.62,242.55,5581.00914925,242.55
2015-05-10,239.11,244.99,238.02,240.1,3584.69231372,240.1
2015-05-11,240.92,244.51,237.99,240.92,9152.26647804,240.92
2015-05-12,241.25,242.0,237.54,241.68,8727.8314694,241.68
2015-05-13,235.75,244.14,235.68,235.75,7888.16790692,235.75
2015-05-14,236.42,239.7,232.22,236.68,9089.7092134,236.68
2015-05-15,237.23,239.28,236.05,237.39,4303.6540788,237.39
2015-05-17,235.51,237.0,234.15,235.73,2566.24842558,235.73
2015-05-18,232.22,236.94,231.44,232.37,7204.78998299,232.37
2015-05-19,232.35,234.24,230.86,232.38,5714.56069896,232.38
2015-05-20,233.53,234.86,231.0,233.54,7644.62708875,233.54
2015-05-21,235.26,236.52,233.01,235.21,4844.59253527,235.21
2015-05-22,237.83,240.9,232.92,238.1,10277.28849179,238.1
2015-05-23,238.22,240.67,237.4,238.2,3456.98682048,238.2
2015-05-25,235.38,240.67,233.1,235.56,5502.84601319,235.56
2015-05-26,235.9,237.96,234.0,236.0,8162.3656012,236.0
2015-05-27,234.97,237.35,234.0,234.99,8874.42901868,234.99
2015-05-28,236.57,236.79,234.87,236.57,5047.11303401,236.57
2015-05-29,235.52,236.8,234.0,235.78,6278.85109123,235.78
2015-05-30,231.56,236.21,231.0,231.83,4382.00935297,231.83
2015-05-31,230.16,232.51,229.99,230.36,3861.36098068,230.36
2015-06-01,221.35,231.2,220.65,221.46,12045.05852108,221.46
2015-06-02,224.95,226.38,221.34,225.2,8338.69022974,225.2
2015-06-03,225.33,226.99,222.57,225.33,5614.75967242,225.33
2015-06-04,223.9,225.98,222.74,223.92,4653.1142349,223.92
2015-06-05,224.86,225.9,219.03,224.99,8579.74351374,224.99
2015-06-06,224.38,225.26,223.07,224.49,2800.00895428,224.49
2015-06-07,222.29,225.48,221.86,222.08,3543.47475127,222.08
2015-06-08,228.14,229.4,222.09,228.14,8674.80247514,228.14
2015-06-09,229.78,230.79,226.67,229.88,9033.20796738,229.88
2015-06-10,228.1,229.88,226.83,228.0,6340.00184472,228.0
2015-06-11,228.72,229.57,226.95,228.88,5036.76596906,228.88
2015-06-12,229.7,230.7,228.01,229.84,5847.64329542,229.84
2015-06-13,231.76,232.02,228.06,232.0,4073.3625864,232.0
2015-06-14,231.45,234.0,230.94,231.45,3587.50627611,231.45
2015-06-15,236.0,237.09,231.0,236.0,10066.78615004,236.0
2015-06-16,245.6,252.05,234.35,245.6,17010.36015264,245.6
2015-06-17,246.66,257.39,244.97,246.75,17580.75022671,246.75
2015-06-18,247.03,251.58,240.0,247.03,11591.3032729,247.03
2015-06-19,245.85,249.93,244.15,245.85,6028.72718898,245.85
2015-06-20,244.4,245.95,239.93,244.5,5298.11552768,244.5
2015-06-21,243.05,245.0,241.06,243.05,2144.76826481,243.05
2015-06-22,247.19,247.99,242.64,247.2,4930.80458017,247.2
2015-06-23,244.21,247.67,242.14,244.59,4868.32864617,244.59
2015-06-24,240.59,244.59,238.2,240.75,6852.48806607,240.75
2015-06-25,241.23,242.9,239.18,241.2,4965.00959955,241.2
2015-06-26,242.34,242.5,240.0,242.5,4751.56897282,242.5
2015-06-27,250.76,250.99,242.26,250.71,6713.61085316,250.71
2015-06-28,248.33,252.0,247.04,248.34,7036.76341851,248.34
2015-06-29,254.78,256.94,248.04,254.78,14873.58008077,254.78
2015-06-30,263.21,268.0,254.22,263.2,20256.7212914,263.2
2015-07-01,258.4,265.25,253.81,258.4,13159.68799898,258.4
2015-07-02,254.42,260.77,253.19,254.5,10317.84040374,254.5
2015-07-03,255.77,256.44,252.4,256.02,8862.13581379,256.02
2015-07-04,260.99,261.0,254.05,261.0,7599.63201933,261.0
2015-07-05,270.38,274.74,258.75,270.78,20479.61309928,270.78
2015-07-06,274.84,278.54,267.13,274.85,20061.59366724,274.85
2015-07-07,265.38,274.85,264.01,265.52,14258.78393411,265.52
2015-07-08,266.65,273.24,263.01,266.66,16549.92911579,266.66
2015-07-09,269.83,271.98,265.92,269.83,14093.2953132,269.83
2015-07-10,285.77,294.71,268.63,285.77,28344.72651077,285.77
2015-07-11,292.21,298.05,283.85,292.31,12272.35741733,292.31
2015-07-12,307.92,317.99,291.64,307.97,21752.1788212,307.97
2015-07-13,292.38,311.64,281.0,292.22,30704.92974397,292.22
2015-07-14,289.19,297.13,286.02,289.15,9742.3141773,289.15
2015-07-15,290.68,293.7,287.15,290.86,7793.51818832,290.86
2015-07-16,280.01,292.4,274.92,280.0,22721.51179368,280.0
2015-07-17,278.44,280.73,272.31,279.0,12677.15704057,279.0
